"issue","subject","company","response","product_area","status","request_type","justification"
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.","Claude access lost","Claude","Thank you for contacting Claude support. I understand you've lost access to your team workspace after your IT admin removed your seat. Since restoring workspace access requires action from your workspace owner or admin, I'm escalating this to our support team who can coordinate with your organization's administrators to help resolve your access issue.","account-management","escalated","product_issue","Escalated because restoring workspace seat access requires admin-level action by the workspace owner or an organization admin. Based on the article 'Purchase and manage seats on Enterprise plans', only admins can assign/unassign seats, and the user explicitly states they are not the owner or admin."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.","Test Score Dispute","HackerRank","Thank you for reaching out. I understand your concern about your test results. HackerRank evaluates coding questions automatically using predefined test cases that measure correctness and efficiency. The system executes submitted code against all test cases and calculates scores based on how many test cases pass successfully.

However, I'm unable to review individual test submissions, modify scores, or influence hiring decisions. These actions are outside the platform's support scope. Test scores reflect the automated evaluation against the question's test cases, and hiring decisions are made by the recruiting company based on their own criteria.

I'm escalating your ticket to our team so they can provide further guidance on your specific situation.","test-management","escalated","product_issue","Escalated because the user is demanding actions outside the product's power: reviewing answers, increasing scores, and forcing a company to advance them in the hiring process. Based on the HackerRank articles on 'Scoring a coding question in tests', scores are calculated automatically by test cases, and the platform cannot manually override results or influence employer hiring decisions."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.","Help","Visa","I understand you received the wrong product and the merchant isn't responding to your emails. To dispute this charge, please contact your card issuer or bank using the phone number on the back of your Visa card. They will need detailed information about the transaction to help resolve this dispute. Please note that Visa cannot directly refund you or ban merchants—these actions require your bank's investigation and follow Visa's dispute resolution process.","merchant-disputes","escalated","product_issue","Escalated because the user is demanding immediate refund and merchant ban actions that are outside Visa's direct control and require human account review by their issuing bank. Based on 'Visa Consumer Support — How do I dispute a charge?', disputes must go through the card issuer, but the user's demands for immediate action and merchant sanctions require escalation to explain limitations and proper dispute channels."
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working","HackerRank","I'm sorry to hear your mock interview stopped unexpectedly. This requires investigation by our support team to understand what happened and review your refund request. Please contact help@hackerrank.com with details about when the interview stopped and any error messages you received. Our team will promptly review your situation and assist you.","interviews","escalated","product_issue","Escalated because the user is demanding a refund for a mock interview that failed mid-session, which requires human account review and investigation. The refund policy article directs users to contact help@hackerrank.com for refund requests."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?","Give me my money","HackerRank","Thank you for contacting HackerRank support regarding your payment issue with order ID cs_live_abcdefgh. Since this involves a specific transaction that requires account-level investigation, I've escalated your ticket to our billing team. They will review your order details and assist you promptly. You can also reach out directly to help@hackerrank.com for billing matters.","billing","escalated","product_issue","Escalated because the user references a specific order ID (cs_live_abcdefgh) for a billing dispute, which requires human account investigation and access to transaction records. While the context mentions contacting help@hackerrank.com for refund requests, the specific transaction dispute requires account-level review."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms","Using HackerRank for hiring","HackerRank","Thank you for your interest in using HackerRank for hiring! To assist you with your company's infosec process and form completion, I'll need to connect you with our sales or onboarding team who can work directly with you on security documentation and compliance requirements. They'll be able to provide the necessary support for your specific infosec needs.","account-management","escalated","product_issue","Escalated because the user is requesting assistance with completing company infosec forms, which requires human interaction from sales/onboarding teams. The retrieved context only covers ATS integrations and interview best practices, but does not provide information about security documentation processes or form completion support."
"i can not able to see apply tab","I need to practice, submissions not working","HackerRank","The Apply tab has been deprecated in HackerRank. However, the features that were previously available in the Apply tab are still accessible under other tabs in the platform.

If you're looking to practice coding problems, you can access practice challenges through the main navigation. If you're experiencing issues with submissions not working, please try the following:

1. Ensure you're clicking the ""Submit"" button after writing your code (not just ""Run"" or ""Run Tests"")
2. Check that your code compiles without errors before submitting
3. Try refreshing your browser or clearing your cache

If you continue to experience submission issues after trying these steps, please provide more details about the specific error message you're seeing so we can assist you further.","general","replied","product_issue","Based on the HackerRank article 'Notification (Impact)', the Apply tab has been deprecated but its features remain accessible under other tabs. The user mentions submission issues, which may be related to confusion about the Run vs Submit functionality described in the test reports articles."
"none of the submissions across any challenges are working on your website","Issue while taking the test","HackerRank","I understand you're experiencing issues with submissions not working across any challenges on the HackerRank platform. This appears to be a site-wide functionality problem that requires immediate investigation by our engineering team. I've escalated your ticket to ensure this is addressed promptly. In the meantime, if you have a stable internet connection and have tried refreshing the page or using a different supported browser (Chrome, Firefox, or Edge), please note those details when our team follows up with you.","screen","escalated","bug","Escalated because the user is reporting that all submissions across all challenges are failing, which indicates a complete service failure requiring engineering investigation. This is not covered by the troubleshooting steps in the 'Coding Challenges FAQs' article, which addresses loading issues but not submission failures across the entire platform."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error","I am facing an blocker while doing compatible check","HackerRank","I understand you're experiencing a blocker with the Zoom connectivity check while trying to complete your compatibility verification for a HackerRank test.

Since you've already tried adjusting your settings and system configurations, please contact our support team at support@hackerrank.com and include a screenshot of the Zoom connectivity error you're seeing. Our team can investigate the specific issue and help you resolve it so you can proceed with your test.

Make sure to mention that all other compatibility criteria are passing except for Zoom connectivity, and include any error messages displayed during the check.","interviews","replied","product_issue","Based on the HackerRank article 'Audio and Video Calls in Interviews Powered by Zoom — Verify system compatibility', the documented troubleshooting path for compatibility issues is to contact support@hackerrank.com with a screenshot of the error. The user has already attempted self-service troubleshooting, so directing them to support with specific information is the appropriate next step."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.","","HackerRank","Thank you for reaching out about rescheduling your assessment for Company Name. Assessment rescheduling requires action from the recruiting team or hiring manager who sent you the invitation, as they control the test scheduling and expiration settings. Please contact the recruiting team directly at the email address provided in your original assessment invitation, or reach out to Company Name's recruiting department to request an alternative date and time. They will be able to assist you with rescheduling your assessment.","test-management","escalated","product_issue","Escalated because the user is requesting an assessment reschedule that requires recruiter or admin action. The context shows that recruiters/admins can reschedule interviews and modify test expiration times, but candidates cannot self-service reschedule their own assessments. This requires human intervention from the company's recruiting team."
